Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2017,0;Ausfuhr;Tsd. EUR;2222;1041908,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;36,32418188455384;2017-Q1
2018,0;Ausfuhr;Tsd. EUR;2222;1107427,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;6,2883671111076955;2018-Q1
2019,0;Ausfuhr;Tsd. EUR;2222;1128200,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;1,8757895554289306;2019-Q1
2020,0;Ausfuhr;Tsd. EUR;2222;1135475,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;0,644832476511259;2020-Q1
2021,0;Ausfuhr;Tsd. EUR;2222;1163555,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;2,4729738655628664;2021-Q1
2022,0;Ausfuhr;Tsd. EUR;2222;1370398,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;17,776813300617512;2022-Q1
2023,0;Ausfuhr;Tsd. EUR;2222;1386544,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;1,1781978666051796;2023-Q1
2024,0;Ausfuhr;Tsd. EUR;2222;1312829,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-5,316455878789272;2024-Q1
2025,0;Ausfuhr;Tsd. EUR;2222;1304423,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-0,6402966418322609;2025-Q1
2026,0;Ausfuhr;Tsd. EUR;2222;1288956,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-1,1857349954730978;2026-Q1
2015,0;Ausfuhr;Tsd. US $;2222;805029,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Ausfuhr;Tsd. US $;2222;842270,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;4,626044527588458;2016-Q1
2017,0;Ausfuhr;Tsd. US $;2222;1109496,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;31,726880928918288;2017-Q1
2018,0;Ausfuhr;Tsd. US $;2222;1361473,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;22,710942626201437;2018-Q1
2019,0;Ausfuhr;Tsd. US $;2222;1281138,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-5,9005944297095825;2019-Q1
2020,0;Ausfuhr;Tsd. US $;2222;1251793,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-2,2905416902784914;2020-Q1
2021,0;Ausfuhr;Tsd. US $;2222;1401759,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;11,980095750655263;2021-Q1
2022,0;Ausfuhr;Tsd. US $;2222;1536790,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;9,632968291981726;2022-Q1
2023,0;Ausfuhr;Tsd. US $;2222;1487621,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-3,199461214609678;2023-Q1
2024,0;Ausfuhr;Tsd. US $;2222;1425395,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-4,182920246487509;2024-Q1
2025,0;Ausfuhr;Tsd. US $;2222;1373361,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-3,6504968798122595;2025-Q1
2026,0;Ausfuhr;Tsd. US $;2222;1508308,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;9,82603991230273;2026-Q1
2015,0;Ausfuhr;t;2222;182881,09999999998;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Ausfuhr;t;2222;196476,09999999998;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;7,433791682136648;2016-Q1
2017,0;Ausfuhr;t;2222;277860,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;41,42223914257259;2017-Q1
2018,0;Ausfuhr;t;2222;296378,5;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;6,664341762371029;2018-Q1
2019,0;Ausfuhr;t;2222;297802,7;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;0,4805341817979425;2019-Q1
2020,0;Ausfuhr;t;2222;290803,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-2,350146590343205;2020-Q1
2021,0;Ausfuhr;t;2222;288288,8;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-0,8648783596093557;2021-Q1
2022,0;Ausfuhr;t;2222;291887,7;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;1,2483662216499658;2022-Q1
2023,0;Ausfuhr;t;2222;264299,1;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-9,45178573814519;2023-Q1
2024,0;Ausfuhr;t;2222;257011,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-2,7571792715147314;2024-Q1
2025,0;Ausfuhr;t;2222;253721,59999999998;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-1,2802130951913182;2025-Q1
2026,0;Ausfuhr;t;2222;252920,5;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-0,31573977146603927;2026-Q1
2015,0;Einfuhr;Anzahl;2222;1493773716,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Einfuhr;Anzahl;2222;1640808522,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;9,843178014520637;2016-Q1
2017,0;Einfuhr;Anzahl;2222;1643477531,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;0,16266425754216662;2017-Q1
2018,0;Einfuhr;Anzahl;2222;1738441595,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;5,778239264531804;2018-Q1
2019,0;Einfuhr;Anzahl;2222;1782654754,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;2,543263985811395;2019-Q1
2020,0;Einfuhr;Anzahl;2222;1525449471,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-14,428216255720372;2020-Q1
2021,0;Einfuhr;Anzahl;2222;1450672935,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-4,9019346377288215;2021-Q1
2022,0;Einfuhr;Anzahl;2222;1441626584,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-0,6235968688559024;2022-Q1
2023,0;Einfuhr;Anzahl;2222;1541750177,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;6,9451822067676305;2023-Q1
2024,0;Einfuhr;Anzahl;2222;1503966335,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-2,450711053169541;2024-Q1
2025,0;Einfuhr;Anzahl;2222;1509489267,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;0,36722444322532244;2025-Q1
2026,0;Einfuhr;Anzahl;2222;1662385242,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;10,12898722386213;2026-Q1
2015,0;Einfuhr;Tsd. EUR;2222;562209,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Einfuhr;Tsd. EUR;2222;605727,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;7,740537771540468;2016-Q1
